crawled_at,property_name,property_id,competitor_name,ota,checkin_date,checkout_date,room_type,price,currency,availability,url,error,is_own,is_promo
2026-04-15 20:43:54,소노캄 비발디파크,sonocam_vivaldi,휘닉스 리조트 평창,야놀자,2026-04-16,2026-04-17,유로빌라 로얄스위트 50평,234500,KRW,available,https://nol.yanolja.com/stay/domestic/3001676?checkInDate=2026-04-16&checkOutDate=2026-04-17,,False,False
2026-04-15 20:43:54,소노캄 비발디파크,sonocam_vivaldi,휘닉스 리조트 평창,야놀자,2026-04-16,2026-04-17,스카이 로얄스위트 50평,282000,KRW,available,https://nol.yanolja.com/stay/domestic/3001676?checkInDate=2026-04-16&checkOutDate=2026-04-17,,False,False
2026-04-15 20:43:54,소노캄 비발디파크,sonocam_vivaldi,휘닉스 리조트 평창,야놀자,2026-04-16,2026-04-17,스카이 스위트 벙커 30평,0,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3001676?checkInDate=2026-04-16&checkOutDate=2026-04-17,,False,False
2026-04-15 20:43:54,소노캄 비발디파크,sonocam_vivaldi,휘닉스 리조트 평창,야놀자,2026-04-16,2026-04-17,카카오 스카이스탠다드패밀리,0,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3001676?checkInDate=2026-04-16&checkOutDate=2026-04-17,,False,False
2026-04-15 20:43:54,소노캄 비발디파크,sonocam_vivaldi,휘닉스 리조트 평창,야놀자,2026-04-16,2026-04-17,스카이 스위트 패밀리,0,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3001676?checkInDate=2026-04-16&checkOutDate=2026-04-17,,False,False
2026-04-15 20:43:54,소노캄 비발디파크,sonocam_vivaldi,휘닉스 리조트 평창,야놀자,2026-04-16,2026-04-17,스카이 스탠다드 패밀리,0,KRW,sold_out,https://nol.yanolja.com/stay/domestic/3001676?checkInDate=2026-04-16&checkOutDate=2026-04-17,,False,False
2026-04-15 20:43:56,소노캄 비발디파크,sonocam_vivaldi,휘닉스 리조트 평창,야놀자,2026-04-17,2026-04-18,스탠다드 20평,120500,KRW,available,https://nol.yanolja.com/stay/domestic/3001676?checkInDate=2026-04-17&checkOutDate=2026-04-18,,False,False
2026-04-15 20:43:56,소노캄 비발디파크,sonocam_vivaldi,휘닉스 리조트 평창,야놀자,2026-04-17,2026-04-18,스탠다드 20평 - 펫룸,149000,KRW,available,https://nol.yanolja.com/stay/domestic/3001676?checkInDate=2026-04-17&checkOutDate=2026-04-18,,False,False
2026-04-15 20:43:56,소노캄 비발디파크,sonocam_vivaldi,휘닉스 리조트 평창,야놀자,2026-04-17,2026-04-18,스카이 스탠다드 20평,168000,KRW,available,https://nol.yanolja.com/stay/domestic/3001676?checkInDate=2026-04-17&checkOutDate=2026-04-18,,False,False
2026-04-15 20:43:56,소노캄 비발디파크,sonocam_vivaldi,휘닉스 리조트 평창,야놀자,2026-04-17,2026-04-18,스위트 30평,168000,KRW,available,https://nol.yanolja.com/stay/domestic/3001676?checkInDate=2026-04-17&checkOutDate=2026-04-18,,False,False
2026-04-15 20:43:56,소노캄 비발디파크,sonocam_vivaldi,휘닉스 리조트 평창,야놀자,2026-04-17,2026-04-18,스위트 30평 - 펫룸,196500,KRW,available,https://nol.yanolja.com/stay/domestic/3001676?checkInDate=2026-04-17&checkOutDate=2026-04-18,,False,False
2026-04-15 20:43:56,소노캄 비발디파크,sonocam_vivaldi,휘닉스 리조트 평창,야놀자,2026-04-17,2026-04-18,스카이 스위트 30평,205050,KRW,available,https://nol.yanolja.com/stay/domestic/3001676?checkInDate=2026-04-17&checkOutDate=2026-04-18,,False,False
2026-04-15 20:43:56,소노캄 비발디파크,sonocam_vivaldi,휘닉스 리조트 평창,야놀자,2026-04-17,2026-04-18,유로빌라 로얄 40평,205050,KRW,available,https://nol.yanolja.com/stay/domestic/3001676?checkInDate=2026-04-17&checkOutDate=2026-04-18,,False,False
